ingredients,recipe_urls,recipe_name,desc,ingredients_parsed
"[""Women's"", 'Round', 'Neck', 'Cotton', 'Lycra', 'And', 'Net', 'Readymade', 'Stretchable', 'Blouse', '(D62_1_CLB_Multi-Coloured_Free', 'Size),blouse', 'desimiss', 'kart']",566.jpeg,blouse desimiss kart,Women's Round Neck Cotton Lycra And Net Readymade Stretchable Blouse (D62_1_CLB_Multi-Coloured_Free Size),neck cotton lycra net readymade stretchable blouse desimiss kart
"['Cottons', 'Unstitched', 'Saree', 'Blouse', 'Fabric', '(Multicolor,', 'Free', 'Size)', '-', 'Pack', 'of', '5,', '1m', 'Each', '-(TRMR', 'NO-AE48,blouse', 'cotton', 'colors']",567.jpeg,blouse cotton colors,"Cottons Unstitched Saree Blouse Fabric (Multicolor, Free Size) - Pack of 5, 1m Each -(TRMR NO-AE48",cotton unstitched saree blouse fabric pack each no cotton color
"['Women/Girls', 'Ethnic', 'Unstitched', 'Chanderi', 'Cotton', 'Jacquard', 'Slightly', 'Transparent', 'Fabric/Cloth/Dress', 'Material', 'for', 'Dress,', 'Suit,', 'Blouse', 'etc.', '-I52,blouse', 'cotton', 'colors']",568.jpeg,blouse cotton colors,"Women/Girls Ethnic Unstitched Chanderi Cotton Jacquard Slightly Transparent Fabric/Cloth/Dress Material for Dress, Suit, Blouse etc. -I52",ethnic unstitched chanderi cotton jacquard slightly transparent material blouse cotton color
"['WIDEHAVEN', 'Designer', 'Readymade', 'Blouse', 'for', 'Women', 'and', 'Girls', '|Handwork', 'Back', 'Neck', 'Designs', 'Readymade', 'Blouse', 'for', 'Saree', 'and', 'Lehenga', '(Size', '38+Margin)|Black,blouse', 'widehaven', 'fashion']",569.jpeg,blouse widehaven fashion,WIDEHAVEN Designer Readymade Blouse for Women and Girls |Handwork Back Neck Designs Readymade Blouse for Saree and Lehenga (Size 38+Margin)|Black,widehaven designer readymade blouse woman girl back neck design readymade blouse saree lehenga widehaven fashion
"[""Women's"", 'Satin', 'Silk', 'Floral', 'Print', 'Readymade', 'Blouse,blouse', 'yazu', 'lifestyle']",570.jpeg,blouse yazu lifestyle,Women's Satin Silk Floral Print Readymade Blouse,satin silk floral print readymade yazu lifestyle
"[""Women's"", 'Turquoise', 'Color', 'Front', 'Open', 'Sana', 'Silk', 'zari', 'workeed', 'Blouse', 'with', 'Short', 'Sleeve', 'and', 'Boat', 'Neck', '(STAT13TQ),blouse', 'linisa']",571.jpeg,blouse linisa,Women's Turquoise Color Front Open Sana Silk zari workeed Blouse with Short Sleeve and Boat Neck (STAT13TQ),turquoise color front open sana silk zari workeed blouse short sleeve boat neck linisa
"[""Women's"", 'Black', 'Dupion', 'Silk', 'Readymade', 'Saree', 'Blouse', 'SSB2780-BLCK,blouse', 's', 'salwar', 'studio']",572.jpeg,blouse s salwar studio,Women's Black Dupion Silk Readymade Saree Blouse SSB2780-BLCK,dupion silk readymade saree blouse s salwar studio
"['Swarna', 'Designer', 'Blouse,blouse', ""bindigasm's"", 'advi']",573.jpeg,blouse bindigasm's advi,Swarna Designer Blouse,swarna designer advi
"[""Women's"", 'Embroidered', 'Multi', 'Phantom', 'Silk', 'Blouse', 'With', 'Round', 'Neck', '(BL-20053)_Free_Size,blouse', 'amrutam', 'fab']",574.jpeg,blouse amrutam fab,Women's Embroidered Multi Phantom Silk Blouse With Round Neck (BL-20053)_Free_Size,embroidered multi phantom silk blouse neck amrutam fab
"['net', 'Saree', 'Blouse(SCFBLRD004_Black_Free', 'Size),blouse', 'saheli', 'collection']",575.jpeg,blouse saheli collection,net Saree Blouse(SCFBLRD004_Black_Free Size),net saree saheli collection
