ingredients,recipe_urls,recipe_name,desc,ingredients_parsed
"['WIDEHAVEN', ""Women's"", 'Dupion', 'Silk', 'Solid', '3/4', 'Sleeve', 'Readymade', 'Saree', 'Blouse', 'Grey,blouse', 'widehaven', 'fashion']",515.jpeg,blouse widehaven fashion,WIDEHAVEN Women's Dupion Silk Solid 3/4 Sleeve Readymade Saree Blouse Grey,widehaven dupion silk solid sleeve readymade saree blouse widehaven fashion
"['Presents', ""Women's"", 'Cotton', 'Lycra', 'Stretchable', 'Readymade', 'Blouse', 'Maroon,blouse', 'riti', 'riwaz']",516.jpeg,blouse riti riwaz,Presents Women's Cotton Lycra Stretchable Readymade Blouse Maroon,present cotton lycra stretchable readymade blouse riti riwaz
"['Round', 'Neck', 'Women', 'Blouse,blouse', 'rene']",517.jpeg,blouse rene,Round Neck Women Blouse,neck woman rene
"[""Women's"", 'Black', 'Color', 'Mor', 'Blouse', 'Sleeves', 'Embroidery', 'Design', 'for', 'Choli', 'Lehenga', 'and', 'Saree', '(Free', 'Size),blouse', 'bawri', 'fashion']",518.jpeg,blouse bawri fashion,Women's Black Color Mor Blouse Sleeves Embroidery Design for Choli Lehenga and Saree (Free Size),color mor blouse sleeve embroidery design choli lehenga saree bawri fashion
"[""Women's"", 'Cotton', 'Sleevesless', 'Blouse,blouse', 'abhi']",519.jpeg,blouse abhi,Women's Cotton Sleevesless Blouse,cotton sleevesless abhi
"[""Women's"", 'Cotton', '3/4', 'Net', 'Sleeves', 'Golden', 'Readymade', 'Blouse', 'with', 'Inner', 'for', 'Saree', '&', 'Lehenga,blouse', 'mooldhani']",520.jpeg,blouse mooldhani,Women's Cotton 3/4 Net Sleeves Golden Readymade Blouse with Inner for Saree & Lehenga,cotton net sleeve golden readymade blouse inner saree mooldhani
"['Chandana', 'Brothers', 'Kakinada', 'Readymade', 'Blouse', 'with', 'Embroider', 'Chips', 'Work', 'Front', 'Open,blouse', 'cbros']",521.jpeg,blouse cbros,Chandana Brothers Kakinada Readymade Blouse with Embroider Chips Work Front Open,chandana brother kakinada readymade blouse embroider chip work front cbros
"[""Women's"", 'Yellowv', 'Color', 'Heavy', 'Embroidery', 'Sequence', 'Work', 'Sleeves', 'Phantom', 'Silk', 'Readymade', 'Saree', 'Blouse', 'And', 'Lehenga', 'Choli', '(38+margin),blouse', 'sumairatex']",522.jpeg,blouse sumairatex,Women's Yellowv Color Heavy Embroidery Sequence Work Sleeves Phantom Silk Readymade Saree Blouse And Lehenga Choli (38+margin),yellowv color embroidery sequence work sleeve phantom silk readymade saree blouse lehenga choli sumairatex
"['Dupion', 'Silk', 'Embroidered', 'Elbow', 'Sleeves', 'Princess', 'Cut', 'Padded', 'Readymade', 'Saree', 'Blouse', 'for', 'Womens', 'and', 'Girls', '(R-542-NAVY_40_BU_V_Navy_40),blouse', 'biyu', 'being', 'with', 'you']",523.jpeg,blouse biyu being with you,Dupion Silk Embroidered Elbow Sleeves Princess Cut Padded Readymade Saree Blouse for Womens and Girls (R-542-NAVY_40_BU_V_Navy_40),dupion silk embroidered elbow sleeve princess padded readymade saree blouse woman girl biyu being you
"[""Women's"", 'Gold', 'Art', 'Silk', 'Readymade', 'Saree', 'Blouse-SSB3132-GOLD,blouse', 's', 'salwar', 'studio']",524.jpeg,blouse s salwar studio,Women's Gold Art Silk Readymade Saree Blouse-SSB3132-GOLD,gold art silk readymade saree blouse s salwar studio
"[""Women's"", 'Band', 'collar', 'Cotton', 'Lycra', 'And', 'Net', 'Readymade', 'Stretchable', 'Blouse', '(D66_1_CLB_Multi-Coloured_Free', 'Size),blouse', 'desimiss', 'kart']",525.jpeg,blouse desimiss kart,Women's Band collar Cotton Lycra And Net Readymade Stretchable Blouse (D66_1_CLB_Multi-Coloured_Free Size),band collar cotton lycra net readymade stretchable blouse desimiss kart
"['Plain', 'Cloth', 'Pieces', 'for', ""Women's"", 'Blouse', 'of', 'Silk', '1', 'Meter_H!,blouse', 'cotton', 'colors']",526.jpeg,blouse cotton colors,Plain Cloth Pieces for Women's Blouse of Silk 1 Meter_H!,cloth blouse silk cotton color
"[""Women'"", 's', 'Gold', 'Color', 'Cotton', 'Lycra', 'Stretchable', 'Stitched', 'Blouse,blouse', 'bright', 'collection']",527.jpeg,blouse bright collection,Women' s Gold Color Cotton Lycra Stretchable Stitched Blouse,s gold color cotton lycra stretchable stitched bright collection
"['Blouse', 'for', 'Women', 'Readymade', 'Design', 'Stretchable', 'Black', 'Color', 'Short', 'Sleeve,blouse', 'lady', 'don']",528.jpeg,blouse lady don,Blouse for Women Readymade Design Stretchable Black Color Short Sleeve,blouse woman readymade design stretchable color short lady don
"['150-Gold', 'Brocade', 'Blouse,blouse', 'generic']",529.jpeg,blouse generic,150-Gold Brocade Blouse,gold brocade generic
"['Cottons', 'Unstitched', 'Saree', 'Blouse', 'Fabric', '(Multicolor,', 'Free', 'Size)', '-', 'Pack', 'of', '10,', '1m', 'Each', '-H23,blouse', 'cotton', 'colors']",530.jpeg,blouse cotton colors,"Cottons Unstitched Saree Blouse Fabric (Multicolor, Free Size) - Pack of 10, 1m Each -H23",cotton unstitched saree blouse fabric pack each cotton color
"[""Women's"", 'Solid', 'Sleeveless', 'Blouse,blouse', 'krishav', 'enterprise']",531.jpeg,blouse krishav enterprise,Women's Solid Sleeveless Blouse,solid sleeveless krishav enterprise
"[""Women's"", 'Wear', 'Satin', 'Silk', 'Grey', 'Printed', 'Stitched', 'Blouse,blouse', 'haviya']",532.jpeg,blouse haviya,Women's Wear Satin Silk Grey Printed Stitched Blouse,wear satin silk grey printed stitched haviya
"[""Women's"", 'Multicolor', 'Sequnce', 'Work', 'Front', 'Back', 'Flower', 'Embroidery', 'Design', 'Phantom', 'Silk', 'Readymade', 'Blouse', 'Using', 'Saree', 'And', 'Lehenga', 'Choli(Navy-Blue),blouse', 'mesmore']",533.jpeg,blouse mesmore,Women's Multicolor Sequnce Work Front Back Flower Embroidery Design Phantom Silk Readymade Blouse Using Saree And Lehenga Choli(Navy-Blue),multicolor sequnce work front back flower embroidery design phantom silk readymade blouse using saree lehenga mesmore
"['Unstitched', 'Silk', 'Blouse', 'Piece', 'Material', 'Mobile', 'Packing', 'of', '1,', '(100', 'cm)-DA35,blouse', 'cotton', 'colors']",534.jpeg,blouse cotton colors,"Unstitched Silk Blouse Piece Material Mobile Packing of 1, (100 cm)-DA35",unstitched silk blouse material mobile packing cotton color
"[""Women's"", 'Multicolor', 'Water', 'Drop', 'Back', 'Neck', 'Peacock', 'Embroidery', 'Stone', 'Work', 'Sleeves', 'Design', 'Phantom', 'Silk', 'Readymade', 'Blouse', 'for', 'Saree', 'and', 'Lehenga', 'Choli', '(38+', 'Margin)', 'Red,blouse', 'wear', 'affair']",535.jpeg,blouse wear affair,Women's Multicolor Water Drop Back Neck Peacock Embroidery Stone Work Sleeves Design Phantom Silk Readymade Blouse for Saree and Lehenga Choli (38+ Margin) Red,multicolor drop back neck peacock embroidery stone work sleeve design phantom silk readymade blouse saree lehenga choli wear affair
"[""Women's"", 'Cotton', 'Readymade', 'Saree', 'Blouse', 'Stretchable', 'Crop', 'Top', 'Choli', 'Pack', 'of', '2,blouse', 'fressia', 'fabrics']",536.jpeg,blouse fressia fabrics,Women's Cotton Readymade Saree Blouse Stretchable Crop Top Choli Pack of 2,cotton readymade saree blouse stretchable crop top choli pack fressia fabric
"['Round', 'Neck', 'Women', 'Blouse,blouse', ""bindigasm's"", 'advi']",537.jpeg,blouse bindigasm's advi,Round Neck Women Blouse,neck woman advi
"['Shimmer', 'Non-Padded', 'Round', 'Neck', 'Stretchable', 'Blouse,blouse', 'muhenera']",538.jpeg,blouse muhenera,Shimmer Non-Padded Round Neck Stretchable Blouse,shimmer non padded neck stretchable muhenera
"[""Women's"", 'jacquard', 'pink', 'Blouse', 'With', 'Rund', 'Neck', '(BL-20028-pink)', 'Free_Size,blouse', 'fab', 'dadu']",539.jpeg,blouse fab dadu,Women's jacquard pink Blouse With Rund Neck (BL-20028-pink) Free_Size,jacquard pink blouse rund neck fab dadu
"['Cottons', 'Unstitched', 'Saree', 'Blouse', 'Fabric', '(Multicolor,', 'Free', 'Size)', '-', 'Pack', 'of', '5,', '1m', 'Each', '-(TRMR', 'NO-AE139,blouse', 'cotton', 'colors']",540.jpeg,blouse cotton colors,"Cottons Unstitched Saree Blouse Fabric (Multicolor, Free Size) - Pack of 5, 1m Each -(TRMR NO-AE139",cotton unstitched saree blouse fabric pack each no cotton color
"[""Women's"", 'Saree', 'Blouse,blouse', 'biyu', 'being', 'with', 'you']",541.jpeg,blouse biyu being with you,Women's Saree Blouse,saree biyu being you
"[""Women's"", 'Polyester', 'Cap', 'Sleeve', 'Readymade', 'Saree', 'Blouse,blouse', 'nd', '&', 'r']",542.jpeg,blouse nd & r,Women's Polyester Cap Sleeve Readymade Saree Blouse,polyester cap sleeve readymade saree nd r
"['Round', 'Neck', 'Women', 'Blouse,blouse', 'mooldhani']",543.jpeg,blouse mooldhani,Round Neck Women Blouse,neck woman mooldhani
"['Readymade', 'Padded', 'Blouse', 'for', 'Women', '&', ""Girl's"", '(Malticolour,', '28', 'to', '34', 'Size)', '(Pack', 'of', '2),blouse', 'lookstar']",544.jpeg,blouse lookstar,"Readymade Padded Blouse for Women & Girl's (Malticolour, 28 to 34 Size) (Pack of 2)",readymade padded blouse woman lookstar
"['Stretchable', 'Blouse', '28', 'to', '46', 'Size', 'Cotton', 'Lycra', 'for', 'Women', '(Pack', 'of-3),blouse', 'life', 'win']",545.jpeg,blouse life win,Stretchable Blouse 28 to 46 Size Cotton Lycra for Women (Pack of-3),stretchable blouse cotton lycra woman life win
"[""Women's"", 'Round', 'Neck', 'Embroidered', 'Work', 'Saree', 'Blouse,blouse', 'z', 'fab']",546.jpeg,blouse z fab,Women's Round Neck Embroidered Work Saree Blouse,neck embroidered work saree z fab
"[""Women's"", 'Net', 'Bustier', 'Saree', 'Blouse,blouse', 'pretty', 'girl']",547.jpeg,blouse pretty girl,Women's Net Bustier Saree Blouse,net bustier saree pretty girl
"['U-Neck', 'Women', 'Blouse,blouse', 'saara']",548.jpeg,blouse saara,U-Neck Women Blouse,u neck woman saara
"['styalish', 'Mirror', 'Blouse', '(Gold),blouse', 'yogeshwar', 'creation']",549.jpeg,blouse yogeshwar creation,styalish Mirror Blouse (Gold),styalish mirror blouse yogeshwar creation
"[""Women's"", 'Madras', 'Checks', 'Pure', 'Cotton', 'Saree', 'Blouse', 'With', 'Pompom', 'Edging,blouse', 'studio', 'shringaar']",550.jpeg,blouse studio shringaar,Women's Madras Checks Pure Cotton Saree Blouse With Pompom Edging,madras check pure cotton saree blouse pompom studio shringaar
"[""Women's"", 'Silk', 'Floral', 'Half', 'Sleeve', 'Readymade', 'Saree', 'Blouse', '(rose', 'blouse_White_38),blouse', 'pujia', 'mills']",551.jpeg,blouse pujia mills,Women's Silk Floral Half Sleeve Readymade Saree Blouse (rose blouse_White_38),silk floral sleeve readymade saree blouse pujia mill
"[""Women's"", 'Green', 'Color', 'Front', 'Open', 'Sana', 'Silk', 'zari', 'workeed', 'Blouse', 'with', 'Short', 'Sleeve', 'and', 'Boat', 'Neck', '(STAT15GN),blouse', 'linisa']",552.jpeg,blouse linisa,Women's Green Color Front Open Sana Silk zari workeed Blouse with Short Sleeve and Boat Neck (STAT15GN),color front open sana silk zari workeed blouse short sleeve boat neck linisa
"['Chanderi', 'Silk', 'Hand', 'Work', 'Blouse,blouse', 'intrigue']",553.jpeg,blouse intrigue,Chanderi Silk Hand Work Blouse,chanderi silk hand work intrigue
"[""Women's"", 'Cotton', 'Round', 'Neck', 'Padded', 'Saree', 'Blouse|Free', 'Size|Back', 'Closure|Purple|Maroon|Gold,blouse', 'mart']",554.jpeg,blouse mart,Women's Cotton Round Neck Padded Saree Blouse|Free Size|Back Closure|Purple|Maroon|Gold,cotton neck padded saree mart
"['Velvet', ""Women's"", 'Readymade', 'Plain', 'Sleeveless', 'Saree', 'Blouse', '(Pack', 'of', '2-Maroon&Black),blouse', 'aaradhya', 'enterprises']",555.jpeg,blouse aaradhya enterprises,Velvet Women's Readymade Plain Sleeveless Saree Blouse (Pack of 2-Maroon&Black),velvet readymade sleeveless saree blouse aaradhya enterprise
"['Diara', 'Women', 'Khadi', 'Fabric', 'Boutique', 'Designer', 'Formal', 'and', 'Casual', 'Double', 'Stitches', 'Blouse-', 'White', 'and', 'Green,blouse', 'generic']",556.jpeg,blouse generic,Diara Women Khadi Fabric Boutique Designer Formal and Casual Double Stitches Blouse- White and Green,diara woman khadi fabric boutique designer formal casual double stitch blouse generic
"[""Women's"", 'Phantom', 'Silk', 'Mor', 'Half', 'Sleeve', 'Saree', 'Readymade', 'Blouse', '(Mor', 'Brown', '1_Brown_38', 'Size),blouse', 'pujia', 'mills']",557.jpeg,blouse pujia mills,Women's Phantom Silk Mor Half Sleeve Saree Readymade Blouse (Mor Brown 1_Brown_38 Size),phantom silk mor sleeve saree readymade blouse pujia mill
"[""Women's"", 'Brocade', 'and', 'Georgette', 'Round', 'Neck', 'Readymade', 'Saree', 'Blouse,blouse', 'lookline']",558.jpeg,blouse lookline,Women's Brocade and Georgette Round Neck Readymade Saree Blouse,brocade georgette neck readymade saree lookline
"[""Women's"", 'Golden', 'Polyester', 'Sleeveless', 'Saree', 'Blouse-Golden,blouse', 'gp', 'collection']",559.jpeg,blouse gp collection,Women's Golden Polyester Sleeveless Saree Blouse-Golden,golden polyester sleeveless saree blouse gp collection
"['Stretchable', ""Girl's"", '&', ""Women's"", 'Cotton', 'Lycra', 'Readymade', 'Lace', 'Net', 'Blouse(Free', 'Size', ':', 'Color', ':Maroon-20),blouse', 'shreejiih']",560.jpeg,blouse shreejiih,Stretchable Girl's & Women's Cotton Lycra Readymade Lace Net Blouse(Free Size : Color :Maroon-20),stretchable cotton lycra readymade lace net color shreejiih
"[""Women's"", 'Synthetic', 'Blouse', '(Golden', 'Sequence', 'Work', 'Blouse_Black_Free', 'Size),blouse', 'women', 'choice']",561.jpeg,blouse women choice,Women's Synthetic Blouse (Golden Sequence Work Blouse_Black_Free Size),synthetic blouse sequence work woman choice
"[""Women's"", 'Black', 'Neckless', 'Neck', 'Handwork', 'Flower', 'Embroidery', 'Sequance', 'Zari', 'Work', 'Phanto', 'Silk', 'Readymade', 'Blouse', 'For', 'Saree', 'and', 'Lehenga', 'Choli', '(38', '+', '4inch', 'Margin),blouse', 'pooja', 'creation']",562.jpeg,blouse pooja creation,Women's Black Neckless Neck Handwork Flower Embroidery Sequance Zari Work Phanto Silk Readymade Blouse For Saree and Lehenga Choli (38 + 4inch Margin),neckless neck handwork flower embroidery sequance zari work phanto silk readymade blouse saree lehenga choli pooja creation
"[""Women's"", 'Pink', 'Phantom', 'Silk', 'Blouse', 'With', 'Round', 'Neck', '(BL-20022-Pink)_Free', 'Size,blouse', 'fab', 'dadu']",563.jpeg,blouse fab dadu,Women's Pink Phantom Silk Blouse With Round Neck (BL-20022-Pink)_Free Size,pink phantom silk blouse neck fab dadu
"['Womens', 'Fancy', 'Round', 'Neck', 'Cotton', 'Back', 'Full', 'Zipper', 'Elbow', 'Designer', 'Sleeves', 'Princess', 'Cut', 'Padded', 'Readymade', 'Long', 'Saree', 'Blouse,blouse', 'r', 'rinkoo']",564.jpeg,blouse r rinkoo,Womens Fancy Round Neck Cotton Back Full Zipper Elbow Designer Sleeves Princess Cut Padded Readymade Long Saree Blouse,woman fancy neck cotton back full zipper elbow designer sleeve princess padded readymade saree r rinkoo
"['Stretchable', ""Girl's"", '&', ""Women's"", 'Cotton', 'Lycra', 'Readymade', 'Lace', 'Net', 'Blouse(Free', 'Size', ':', 'Color', ':Black-12),blouse', 'harikrupex']",565.jpeg,blouse harikrupex,Stretchable Girl's & Women's Cotton Lycra Readymade Lace Net Blouse(Free Size : Color :Black-12),stretchable cotton lycra readymade lace net color harikrupex
